Using device: cuda
Loading data...
Loading existing split...
Data scaled: mean=0.9978, std=7.0090
Resuming from Epoch 100
Epoch 101: Loss 0.0026, Acc 99.65%
Epoch 102: Loss 0.0024, Acc 99.66%
Epoch 103: Loss 0.0021, Acc 99.65%
Epoch 104: Loss 0.0020, Acc 99.65%
Epoch 105: Loss 0.0020, Acc 99.64%
Epoch 106: Loss 0.0026, Acc 99.63%
Epoch 107: Loss 0.0028, Acc 99.66%
Epoch 108: Loss 0.0035, Acc 99.63%
Epoch 109: Loss 0.0049, Acc 99.60%
Epoch 110: Loss 0.0045, Acc 99.64%
Epoch 111: Loss 0.0062, Acc 99.65%
Epoch 112: Loss 0.0061, Acc 99.54%
Epoch 113: Loss 0.0086, Acc 99.58%
Epoch 114: Loss 0.0074, Acc 99.65%
Epoch 115: Loss 0.0091, Acc 99.59%
Epoch 116: Loss 0.0094, Acc 99.58%
Epoch 117: Loss 0.0095, Acc 99.50%
Epoch 118: Loss 0.0103, Acc 99.41%
Epoch 119: Loss 0.0088, Acc 99.50%
Epoch 120: Loss 0.0125, Acc 99.61%
Epoch 121: Loss 0.0095, Acc 99.52%
Epoch 122: Loss 0.0099, Acc 99.60%
Epoch 123: Loss 0.0102, Acc 99.55%
Epoch 124: Loss 0.0084, Acc 99.52%
Epoch 125: Loss 0.0086, Acc 99.56%
Epoch 126: Loss 0.0083, Acc 99.54%
Epoch 127: Loss 0.0066, Acc 99.63%
Epoch 128: Loss 0.0069, Acc 99.49%
Epoch 129: Loss 0.0053, Acc 99.63%
Epoch 130: Loss 0.0054, Acc 99.60%
Epoch 131: Loss 0.0039, Acc 99.60%
Epoch 132: Loss 0.0030, Acc 99.65%
Epoch 133: Loss 0.0031, Acc 99.61%
Epoch 134: Loss 0.0020, Acc 99.61%
Epoch 135: Loss 0.0018, Acc 99.64%
Epoch 136: Loss 0.0015, Acc 99.68%
Epoch 137: Loss 0.0010, Acc 99.70%
Epoch 138: Loss 0.0009, Acc 99.69%
Epoch 139: Loss 0.0007, Acc 99.70%
Epoch 140: Loss 0.0006, Acc 99.70%
Epoch 141: Loss 0.0006, Acc 99.70%
Epoch 142: Loss 0.0006, Acc 99.70%
Epoch 143: Loss 0.0007, Acc 99.70%
Epoch 144: Loss 0.0008, Acc 99.69%
Epoch 145: Loss 0.0010, Acc 99.67%
Epoch 146: Loss 0.0012, Acc 99.67%
Epoch 147: Loss 0.0015, Acc 99.68%
Epoch 148: Loss 0.0019, Acc 99.68%
Epoch 149: Loss 0.0033, Acc 99.63%
Epoch 150: Loss 0.0031, Acc 99.61%
Epoch 151: Loss 0.0042, Acc 99.59%
Epoch 152: Loss 0.0042, Acc 99.66%
Epoch 153: Loss 0.0054, Acc 99.65%
Epoch 154: Loss 0.0065, Acc 99.63%
Epoch 155: Loss 0.0068, Acc 99.63%
Epoch 156: Loss 0.0072, Acc 99.56%
Epoch 157: Loss 0.0081, Acc 99.35%
Epoch 158: Loss 0.0078, Acc 99.53%
Epoch 159: Loss 0.0081, Acc 99.61%
Epoch 160: Loss 0.0078, Acc 99.60%
Epoch 161: Loss 0.0073, Acc 99.50%
Epoch 162: Loss 0.0090, Acc 99.60%
Epoch 163: Loss 0.0074, Acc 99.60%
Epoch 164: Loss 0.0074, Acc 99.57%
Epoch 165: Loss 0.0065, Acc 99.65%
Epoch 166: Loss 0.0058, Acc 99.41%
Epoch 167: Loss 0.0060, Acc 99.59%
Epoch 168: Loss 0.0056, Acc 99.63%
Epoch 169: Loss 0.0039, Acc 99.63%
Epoch 170: Loss 0.0037, Acc 99.67%
Epoch 171: Loss 0.0032, Acc 99.65%
Epoch 172: Loss 0.0029, Acc 99.69%
Epoch 173: Loss 0.0019, Acc 99.70%
Epoch 174: Loss 0.0017, Acc 99.67%
Epoch 175: Loss 0.0013, Acc 99.67%
Epoch 176: Loss 0.0010, Acc 99.69%
Epoch 177: Loss 0.0007, Acc 99.69%
Epoch 178: Loss 0.0006, Acc 99.71%
Epoch 179: Loss 0.0005, Acc 99.72%
Epoch 180: Loss 0.0005, Acc 99.72%
Epoch 181: Loss 0.0004, Acc 99.72%
Epoch 182: Loss 0.0004, Acc 99.72%
Epoch 183: Loss 0.0005, Acc 99.72%
Epoch 184: Loss 0.0005, Acc 99.70%
Epoch 185: Loss 0.0006, Acc 99.71%
Epoch 186: Loss 0.0011, Acc 99.67%
Epoch 187: Loss 0.0014, Acc 99.66%
Epoch 188: Loss 0.0014, Acc 99.70%
Epoch 189: Loss 0.0017, Acc 99.67%
